Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.9836031973765115,0.9925270796994271,0.9619829223617108
mvtec_pill,0.9869067103109657,0.9854638021551153,0.9469561623817455
mvtec_capsule,0.9768647786198644,0.989099956536783,0.9317180660696429
mvtec_carpet,0.9959871589085073,0.9808489567102059,0.8894091690164849
mvtec_grid,0.9966583124477861,0.9880594953719459,0.9557128794643562
mvtec_tile,0.9985569985569985,0.9555526489522209,0.8919213296301378
mvtec_wood,1.0,0.9379523091772504,0.8309318973082529
mvtec_zipper,0.9989495798319328,0.9870440423918763,0.9583470098159724
mvtec_cable,1.0,0.9737399073743152,0.9097315977140386
mvtec_toothbrush,1.0,0.9831582928554046,0.8996876476651245
mvtec_transistor,1.0,0.9695737560205306,0.9376516815160622
mvtec_metal_nut,1.0,0.9859022917740169,0.8796459207919285
mvtec_bottle,1.0,0.9796909963985779,0.9060034247727661
mvtec_hazelnut,0.9982142857142857,0.9770609791588609,0.8336727139223282
mvtec_leather,1.0,0.9917553084728771,0.968828490999622
Mean,0.9957160681177901,0.9784953215366272,0.913480060895345
